section,field,value,link,notes
ai-done-properly,Image,assets/images/butler-7.jpg,,Portrait with bold color styling.
pricing-reality-check,Show Section?,No,,
pricing-reality-check,Display Order,70,,Lower numbers appear first.
pricing-reality-check,Eyebrow,Decision Tool Library,,
pricing-reality-check,Title,Pricing Reality Check,,
pricing-reality-check,Body 1,Run the math before fear runs you.,,
pricing-reality-check,Body 2,"If you sell shampoo and conditioner sets for $28 and raise them to $32, what actually happens if you lose a few customers?",,
pricing-reality-check,Body 3,Most founders never calculate it.,,
pricing-reality-check,Body 4,"Inside the full worksheet, you'll walk through:",,
pricing-reality-check,List 1,What happens to your revenue if you raise your price,,
pricing-reality-check,List 2,How many sales you could lose and still make more money,,
pricing-reality-check,List 3,Whether hesitation is about the market or about fear,,
pricing-reality-check,List 4,How to communicate a price shift calmly,,
pricing-reality-check,Body After 1,Small pricing decisions compound.,,
pricing-reality-check,Image,assets/images/additional_images/amanda professional photos of her/Amanda - 10.jpg,,Amanda Johnson seated in a studio portrait.
should-i-launch-this,Show Section?,No,,
should-i-launch-this,Display Order,80,,Lower numbers appear first.
should-i-launch-this,Eyebrow,Decision Tool Library,,
should-i-launch-this,Title,Should I Launch This? Checklist,,
should-i-launch-this,Body 1,Excitement is not a launch plan.,,
should-i-launch-this,Body 2,"Before adding a new service, product, or offering, this checklist helps you slow down and ask:",,
should-i-launch-this,List 1,Will this make money,,
should-i-launch-this,List 2,Do you have time to support it,,
should-i-launch-this,List 3,Is your offer clear,,
should-i-launch-this,List 4,What are you giving up by launching now,,
should-i-launch-this,Body After 1,Most failed launches skipped this step.,,
should-i-launch-this,Image,assets/images/Thandiwe-Muriu-Camo-16.jpg,,Colorful portrait against patterned fabric.
vendor-partnership-checklist,Show Section?,No,,
vendor-partnership-checklist,Display Order,90,,Lower numbers appear first.
vendor-partnership-checklist,Eyebrow,Decision Tool Library,,
vendor-partnership-checklist,Title,Vendor & Partnership Checklist,,
vendor-partnership-checklist,Body 1,"Before signing anything, pause.",,
vendor-partnership-checklist,Body 2,Maybe a retailer wants to carry your product.,,
vendor-partnership-checklist,Body 3,Maybe an influencer wants a revenue split.,,
vendor-partnership-checklist,Body 4,Maybe a manufacturer offers better pricing.,,
vendor-partnership-checklist,Body 5,This tool helps you think through:,,
vendor-partnership-checklist,List 1,Who controls pricing and promotion,,
vendor-partnership-checklist,List 2,How money is actually split,,
vendor-partnership-checklist,List 3,Who owns the customer relationship,,
vendor-partnership-checklist,List 4,What happens if things don't go as planned,,
vendor-partnership-checklist,Body After 1,One bad agreement can stall a business.,,
vendor-partnership-checklist,Image,assets/images/additional_images/chanel dokun - story individual/Chanel-Dokun.jpeg,,Founder portrait in studio light.
capital-fit-funding-decisions,Show Section?,No,,
capital-fit-funding-decisions,Display Order,100,,Lower numbers appear first.
capital-fit-funding-decisions,Eyebrow,Decision Tool Library,,
capital-fit-funding-decisions,Title,Capital Fit & Funding Decisions,,
capital-fit-funding-decisions,Body 1,Access to capital changes everything.,,
capital-fit-funding-decisions,Body 2,But not all money is good money.,,
capital-fit-funding-decisions,Body 3,Inside this section you'll find:,,
capital-fit-funding-decisions,List 1,A Capital Fit Checklist to decide if you even need outside funding,,
capital-fit-funding-decisions,List 2,A Funding Readiness Worksheet before you apply,,
capital-fit-funding-decisions,List 3,A curated list of grants and funding programs for Black founders,,
capital-fit-funding-decisions,List 4,Clear notes on who each opportunity is actually for,,
capital-fit-funding-decisions,List 5,Real breakdowns of what debt and equity truly cost,,
capital-fit-funding-decisions,Body After 1,This is not about chasing money.,,
capital-fit-funding-decisions,Body After 2,It's about understanding what money will require from you.,,
capital-fit-funding-decisions,Image,assets/images/Butler-Indi-10Det1-1920x1438.jpg,,Detailed portrait with layered color and texture.
ai-when-to-use-it,Show Section?,No,,
ai-when-to-use-it,Display Order,110,,Lower numbers appear first.
ai-when-to-use-it,Eyebrow,Decision Tool Library,,
ai-when-to-use-it,Title,AI: When to Use It. When Not To.,,
ai-when-to-use-it,Body 1,AI can save time.,,
ai-when-to-use-it,Body 2,AI can also cost you money if you trust it blindly.,,
ai-when-to-use-it,Body 3,Inside you'll get:,,
ai-when-to-use-it,List 1,Copy-and-use prompts,,
ai-when-to-use-it,List 2,Ways to double-check AI responses,,
ai-when-to-use-it,List 3,Clear examples of when AI helps,,
ai-when-to-use-it,List 4,Clear examples of when you still need judgment,,
ai-when-to-use-it,Body After 1,"AI should support your thinking, not replace it.",,
ai-when-to-use-it,Image,assets/images/s_E521675FD7161C8DBA81737FF2977B200D5AF776D94CCDE084483E84D1E6E5D1_1716565825286_04-Discord.jpg,,Editorial portrait with bold pattern and color.
real-life-decisions,Show Section?,No,,
real-life-decisions,Display Order,120,,Lower numbers appear first.
real-life-decisions,Eyebrow,Decision Tool Library,,
real-life-decisions,Title,Real Life Decisions,,
real-life-decisions,Body 1,We break down real founder situations step by step.,,
real-life-decisions,Body 2,Not highlight reels. Not theory.,,
real-life-decisions,Body 3,Real decisions with real stakes.,,
real-life-decisions,Body 4,For example:,,
real-life-decisions,List 1,A founder raising prices and risking customer loss,,
real-life-decisions,List 2,A CEO evaluating a partnership that requires giving up control,,
real-life-decisions,List 3,A service provider walking away from a draining client,,
real-life-decisions,List 4,A hairdresser deciding whether to open her own salon,,
real-life-decisions,List 5,A beauty brand choosing whether to accept a large retail order,,
real-life-decisions,Body After 1,You don't just see outcomes.,,
real-life-decisions,Body After 2,You see how decisions are made.,,
real-life-decisions,Image,assets/images/1muriu-8-scaled.jpg,,Portrait framed by high-contrast patterns.
live-sessions,Show Section?,No,,
live-sessions,Display Order,130,,Lower numbers appear first.
live-sessions,Eyebrow,Business Counsel,,
live-sessions,Title,When You Want One-on-One Time,,
live-sessions,Body 1,Membership gives you structure and community.,,
live-sessions,Body 2,Sometimes you want focused time.,,
live-sessions,Body 3,Business Counsel is available when you want one decision examined closely.,,
live-sessions,List 1,One session,,
live-sessions,List 2,One real problem,,
live-sessions,List 3,Your numbers,,
live-sessions,List 4,Your context,,
live-sessions,Image,assets/images/muriu-6-scaled.jpg,,Portrait framed by soft light.
who-this-is-for,Show Section?,Yes,,
who-this-is-for,Display Order,30,,
who-this-is-for,Eyebrow,,,
who-this-is-for,Title,Membership is intentionally limited.,,
who-this-is-for,Body 1,,,
who-this-is-for,Body 2,,,
who-this-is-for,CTA 1,Explore Membership with Amanda,mailto:amanda@cupcakesandbroccoli.com?subject=The%20Decision%20Room,primary
who-this-is-for,CTA 2,,,
hero,Content Mode,Flexible,,
whats-inside,Content Mode,Flexible,,
whats-inside,List 6,Invitation-only dinners.,,
who-this-is-for,Content Mode,Flexible,,
